barcode,sku,weight,unit,subCategory,parentCategory,image128,image256,mrp
8718699672478,Philips 7W Led Brightness,1,pcs,Electricals,Household Needs,https://media.goodbox.in/qo/mrp/images/localcatalog/20190930/24780396.jpg,https://media.goodbox.in/qo/mrp/images/localcatalog/20190930/24780396.jpg,180.00
8718699682293,Enjoy Saver Led Lamp,1,unit,Electricals,Household Needs,https://media.goodbox.in/qo/mrp/images/localcatalog/20190930/24772847.jpg,https://media.goodbox.in/qo/mrp/images/localcatalog/20190930/24772847.jpg,280.00
8718699709259,Philips Led Lamp,1,unit,Electricals,Household Needs,https://media.goodbox.in/qo/mrp/images/localcatalog/20190930/24772796.jpg,https://media.goodbox.in/qo/mrp/images/localcatalog/20190930/24772796.jpg,195.00
8718699718633,Philips Energy Saver Led Lamp 12W,1,unit,Electricals,Household Needs,https://media.goodbox.in/qo/mrp/images/localcatalog/20190930/24772853.jpg,https://media.goodbox.in/qo/mrp/images/localcatalog/20190930/24772853.jpg,295.00
8794052900013,Allwinz Herbal Bed Bug Stream Spray,500,ml,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/mrp/images/localcatalog/20191008/24871810.jpg,https://media.goodbox.in/qo/mrp/images/localcatalog/20191008/24871810.jpg,225.00
8794052900020,Alwinz Bed Bug Nivaran,250,ml,Repellents & Freshener,Household Needs,https://media.goodbox.in/api_uploads/catalog_upload_20210402110628_8794052900020-removebg-preview_1.png,https://media.goodbox.in/api_uploads/catalog_upload_20210402110631_8794052900020-removebg-preview_1.png,150.00
8801154572120,Finish Powerball Diswasher Detergent,391,gm,Dishwashers & Cleaners,Household Needs,https://media.goodbox.in/qo/mrp/images/localcatalog/20191008/24896330.jpg,https://media.goodbox.in/qo/mrp/images/localcatalog/20191008/24896330.jpg,599.00
8802946506194,Faber Castell Text Liner,1,pcs,Stationery,Household Needs,https://media.goodbox.in/api_uploads/catalog_upload_20210312155515_8802946506194-removebg-preview1.png,https://media.goodbox.in/api_uploads/catalog_upload_20210312155517_8802946506194-removebg-preview1.png,50.00
8802946506200,Faber Castel Text Liner,1,pcs,Stationery,Household Needs,https://media.goodbox.in/api_uploads/catalog_upload_20210312155547_8802946506200-removebg-preview1.png,https://media.goodbox.in/api_uploads/catalog_upload_20210312155548_8802946506200-removebg-preview1.png,50.03
8806088021997,Samsung Adaptor,1,pcs,Electricals,Household Needs,https://s3-ap-southeast-1.amazonaws.com/media.tsepak.com/New_updates_to_master_catalogue/8806088021997.jpg,https://s3-ap-southeast-1.amazonaws.com/media.tsepak.com/New_updates_to_master_catalogue/8806088021997.jpg,499.00
8809179671453,HG Woodless Graphite Pencils,6,pcs,Stationery,Household Needs,https://media.goodbox.in/api_uploads/catalog_upload_20211214155412_8809179671453-1.png,https://media.goodbox.in/api_uploads/catalog_upload_20211214155410_8809179671453-2.png,99.00
8809534713415,HG Pencil Pouch,1,pcs,Stationery,Household Needs,https://media.goodbox.in/api_uploads/catalog_upload_20211214164453_8809534713415-1.png,https://media.goodbox.in/api_uploads/catalog_upload_20211214164457_8809534713415-2.png,125.00
8850175012061,Glade Touch & Fresh Lemon Air Freshener Rock,12,ml,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/menu-images/dropin/128/8850175012061.jpg,https://media.goodbox.in/qo/menu-images/dropin/256/8850175012061.jpg,120.00
8850175012085,Glade Touch & Fresh Lavender Air Freshener Roc,12,ml,Repellents & Freshener,Household Needs,https://media.goodbox.in/sku_images/glade_touch_fresh_lavender_air_freshener_roc_12_ml_128.png,https://media.goodbox.in/sku_images/glade_touch_fresh_lavender_air_freshener_roc_12_ml_256.png,120.00
8850175012108,Glade Touch & Fresh Lemon Air Freshener,12,ml,Repellents & Freshener,Household Needs,https://media.goodbox.in/sku_images/glade_touch_fresh_lemon_air_freshener_12_ml_128.jpg,https://media.goodbox.in/sku_images/glade_touch_fresh_lemon_air_freshener_12_ml_256.jpg,85.00
8850175012122,Glade Touch & Fresh Lavender Air Freshener Refill,12,ml,Repellents & Freshener,Household Needs,https://media.goodbox.in/sku_images/glade_touch_fresh_lavender_air_freshener_12_ml_refill_128.jpg,https://media.goodbox.in/sku_images/glade_touch_fresh_lavender_air_freshener_12_ml_refill_256.jpg,95.00
8901023005824,Ezee Liquid Detergent,1000,gm,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/qo/menu-images/dropin/128/8901023005824.jpg,https://media.goodbox.in/qo/menu-images/dropin/256/8901023005824.jpg,185.00
8901023009228,Genteel Liquid Detergent,500,gm,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/qo/menu-images/Galaxy128x128/8901023009228.jpg,https://media.goodbox.in/qo/menu-images/Galaxy256x256/8901023009228.jpg,99.00
8901023009266,Godrej Genteel Liquid Detergent,2,kg,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/qo/menu-images/MetroEezykart_128x128_Batch2/8901023009266.jpg,https://media.goodbox.in/qo/menu-images/MetroEezykart_256x256_Batch1/8901023009266.jpg,340.00
8901023010002,Hit Anti-Roach Gel,20,gm,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/menu-images/MetroEezykart_128x128_Batch2/8901023010002.jpg,https://media.goodbox.in/qo/menu-images/MetroEezykart_256x256_Batch1/8901023010002.jpg,270.00
8901023010569,Godrej Genteel Washomatic,1,kg,Laundry Detergents & Liquids,Household Needs,https://media.goodbox.in/qo/menu-images/MetroEezykart_128x128_Batch2/8901023010569.jpg,https://media.goodbox.in/qo/menu-images/MetroEezykart_256x256_Batch1/8901023010569.jpg,220.00
8901023011276,Good Knight Advanced Fast Card,10,pcs,Repellents & Freshener,Household Needs,https://media.goodbox.in/sku_images/good_knight_advanced_fast_card_10_pcs_128.jpg,https://media.goodbox.in/sku_images/good_knight_advanced_fast_card_10_pcs_256.jpg,10.00
8901023011634,Godrej Master Blaster Handwash Pump,300,ml,Repellents & Freshener,Household Needs,https://media.goodbox.in/qo/menu-images/MetroEezykart_128x128_Batch2/8901023011634.jpg,https://media.goodbox.in/qo/menu-images/MetroEezykart_256x256_Batch1/8901023011634.jpg,89.00
